Timestamp,Product_ID,Product_Name,Category,MRP,Item_Volume_cm3,Selling_Price,Darkstore_Name,City,Pincode,Daily_Avg_Demand,Lead_Time_Days,Reorder_Point,Current_Stock_Units,Status
17/09/26 06:01,SKU_001,Product_Dairy_1,Dairy/Fresh,290,1230,273,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,64,0.77,12,21,In Stock
17/09/26 06:01,SKU_002,Product_Staples_2,Staples,40,221,38,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,69,1.29,34,56,In Stock
17/09/26 06:01,SKU_003,Product_Dairy_3,Dairy/Fresh,107,1496,105,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,147,0.51,29,141,In Stock
17/09/26 06:01,SKU_004,Product_Snacks & Beverages_4,Snacks & Beverages,171,230,161,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,52,1.68,26,49,In Stock
17/09/26 06:01,SKU_005,Product_Dairy_5,Dairy/Fresh,277,443,248,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,81,0.71,16,28,In Stock
17/09/26 06:01,SKU_006,Product_Staples_6,Staples,211,1055,183,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,78,1.16,39,67,In Stock
17/09/26 06:01,SKU_007,Product_Dairy_7,Dairy/Fresh,41,352,38,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,112,0.82,22,79,In Stock
17/09/26 06:01,SKU_008,Product_Snacks & Beverages_8,Snacks & Beverages,68,574,60,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,34,1.9,17,43,In Stock
17/09/26 06:01,SKU_009,Product_Snacks & Beverages_9,Snacks & Beverages,189,799,172,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,31,1.69,15,45,In Stock
17/09/26 06:01,SKU_010,Product_Dairy_10,Dairy/Fresh,209,1057,205,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,74,0.68,14,56,In Stock
17/09/26 06:01,SKU_011,Product_Staples_11,Staples,70,1367,63,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,73,1.77,36,45,In Stock
17/09/26 06:01,SKU_012,Product_Snacks & Beverages_12,Snacks & Beverages,150,746,130,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,39,1.94,19,49,In Stock
17/09/26 06:01,SKU_013,Product_Dairy_13,Dairy/Fresh,186,1397,168,"BD Mall, Manjit Nagar (Near Thapar Uni)",Patiala,147004,111,0.89,22,124,In Stock
